Region,Title,Rank,Source
JP,BogotÃ¡: City of the Lost,2,Netflix
JP,Belle,2,Netflix
JP,Alpha,2,Netflix
JP,Ad Vitam,2,Netflix
JP,10DANCE,2,Netflix
JP,My Happy Marriage,2,Netflix
JP,STRAW,3,Netflix
JP,The Great Flood,3,Netflix
JP,The Elixir,3,Netflix
JP,99.9 Criminal Lawyer: The Movie,3,Netflix
JP,11 Rebels,3,Netflix
JP,Detective Conan the Movie: The Fist of Blue Sapphire,3,Netflix
JP,Crows: Episode Zero,3,Netflix
JP,Fast X,3,Netflix
JP,HELL DOGS - IN THE HOUSE OF BAMBOO -,3,Netflix
JP,Love Untangled,3,Netflix
JP,Home Sweet Home,3,Netflix
JP,Detective Conan: The Story of Ai Haibara: Black Iron Mystery Train,3,Netflix
JP,Flightplan,3,Netflix
JP,Detective Conan the Movie: Raven Chaser,3,Netflix
JP,Revelations,3,Netflix
JP,The Boy and the Beast,3,Netflix
JP,Silence of the Sea,3,Netflix
JP,Ya Boy Kongming! The Movie,3,Netflix
JP,Winnie the Pooh: Blood and Honey,3,Netflix
JP,The Secret Life of Pets 2,3,Netflix
JP,Wake Up Dead Man: A Knives Out Mystery,3,Netflix
JP,PAW Patrol: The Mighty Movie,3,Netflix
JP,My Hero Academia: You're Next,3,Netflix
JP,City Hunter The Movie: Angel Dust,4,Netflix
JP,Crows: Episode Zero II,4,Netflix
JP,Doraemon The Movie: Nobita's Sky Utopia,4,Netflix
JP,iHostage,4,Netflix
JP,Tokyo Revengers 2: Bloody Halloween - Decisive Battle,4,Netflix
JP,The Sentinel,4,Netflix
JP,The Rose of Versailles,4,Netflix
JP,Inside Man: Most Wanted,4,Netflix
JP,Carry-On,4,Netflix
JP,Detective Conan the Movie: Captured in Her Eyes,4,Netflix
JP,Death Row Family,4,Netflix
JP,Don't Call it Mystery: The Movie,4,Netflix
JP,Good News,4,Netflix
JP,It Takes More Than a Pretty Face To Fall in Love,4,Netflix
JP,Furiosa: A Mad Max Saga,4,Netflix
JP,Emily the Criminal,4,Netflix
JP,Detective Conan the Movie: Dimensional Sniper,4,Netflix
JP,Brick,4,Netflix
JP,Black Crow 1,4,Netflix
JP,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,4,Netflix
JP,Ichikei's Crow: The Movie,5,Netflix
JP,In an Isolated Cottage on a Snowy Mountain,5,Netflix
JP,Kinda Pregnant,5,Netflix
JP,Silent Love,5,Netflix
JP,Ziam,5,Netflix
JP,Wolf Children,5,Netflix
JP,The Wrath of Becky,5,Netflix
JP,Havoc,5,Netflix
JP,Detective Conan : The Private Eyes' Requiem,5,Netflix
JP,Detective Conan the Movie: The Darkest Nightmare,5,Netflix
JP,Fly Me to the Saitama: From Biwa Lake With Love,5,Netflix
JP,Ichiko,5,Netflix
JP,Beetlejuice Beetlejuice,5,Netflix
JP,Breaking,5,Netflix
JP,The Exorcist: Believer,5,Netflix
JP,Detective Conan the Movie: Quarter of Silence,5,Netflix
